ticker,horizon,variant,baseline,dm_statistic,dm_p_value,mean_loss_diff
GS,20,cross_attention,naive_persistente,0.25514928350755317,0.7987218379805536,3.3504828195809516e-05
GS,20,cross_attention,arima_garch,2.1529473974147764,0.031842082895459756,0.00022136168989962722
GS,60,price_only,random_walk,1.6081494013094695,0.10863294588051708,0.00024180853811462522
GS,60,price_only,naive_persistente,1.6361556892222657,0.10263493694393144,0.00026841056010067674
GS,60,price_only,arima_garch,2.0483112978654177,0.04121616872332834,0.00014930377693818598
GS,60,text_only,random_walk,3.3027452649232245,0.0010482228194543808,0.0010491281812980088
GS,60,text_only,naive_persistente,7.521785925155911,3.9390712913700554e-13,0.0010757302032840604
GS,60,text_only,arima_garch,4.029060264181006,6.765495152838419e-05,0.0009566234201215695
GS,60,early_fusion,random_walk,0.739446226661518,0.46009261557222647,2.4361582430513713e-05
GS,60,early_fusion,naive_persistente,0.3044559693032553,0.7609471951190738,5.0963604416565225e-05
GS,60,early_fusion,arima_garch,-0.8024069219159268,0.4228191463097464,-6.814317874592553e-05
GS,60,late_fusion,random_walk,0.5862562448829837,0.5580513944469097,0.00013139212853391423
GS,60,late_fusion,naive_persistente,3.6496595878986344,0.00029930882462458896,0.00015799415051996572
GS,60,late_fusion,arima_garch,0.2290900163498708,0.8189221987338695,3.888736735747501e-05
GS,60,cross_attention,random_walk,1.8168399750477464,0.07002924910128239,0.0008502158606096954
GS,60,cross_attention,naive_persistente,2.963302784511725,0.0032351827726135873,0.0008768178825957467
GS,60,cross_attention,arima_garch,1.8877139816997452,0.05982608484976559,0.0007577110994332561
KO,5,price_only,random_walk,0.005823833116394332,0.9953556499618015,1.4297910398130092e-08
KO,5,price_only,naive_persistente,-2.276105659110084,0.02327034669105621,-6.19013733879945e-05
KO,5,price_only,arima_garch,0.09438976811551505,0.9248381280382849,1.0302376371582422e-06
KO,5,text_only,random_walk,8.864961863902229,0.0,0.0003844305224089682
KO,5,text_only,naive_persistente,7.513414832753788,2.7555735471196385e-13,0.00032251485111057555
KO,5,text_only,arima_garch,7.891135657945652,1.9761969838327786e-14,0.0003854464621357283
KO,5,early_fusion,random_walk,3.3799158527794697,0.000782958038600956,7.683288167266496e-05
KO,5,early_fusion,naive_persistente,0.36786580485614817,0.7131321478020924,1.4917210374272298e-05
KO,5,early_fusion,arima_garch,3.7401100333473876,0.0002056831090180289,7.784882139942506e-05
KO,5,late_fusion,random_walk,6.4081478792031366,3.4632652301525013e-10,0.000522429002440805
KO,5,late_fusion,naive_persistente,5.3858092976619565,1.1213945994015262e-07,0.00046051333114241233
KO,5,late_fusion,arima_garch,6.342540744460011,5.142259951185224e-10,0.0005234449421675652
KO,5,cross_attention,random_walk,6.004654829483969,3.737765430500417e-09,0.00030203555115936243
KO,5,cross_attention,naive_persistente,4.289280686847301,2.1601858659181516e-05,0.0002401198798609698
KO,5,cross_attention,arima_garch,5.760442097966475,1.4834577566347207e-08,0.00030305149088612253
KO,20,price_only,random_walk,1.2078917151435562,0.22770955238428514,0.00010246287068556105
KO,20,price_only,naive_persistente,-0.5763126951731619,0.5646857136469263,-5.266087099880622e-05
KO,20,price_only,arima_garch,1.0838356463924126,0.2790054239502435,0.00010230453552239393
KO,20,text_only,random_walk,3.3862263366834684,0.0007693867716782599,0.00677246855318691
KO,20,text_only,naive_persistente,3.3399077894702236,0.0009062517692204342,0.006617344811502542
KO,20,text_only,arima_garch,3.3986642433743195,0.0007360606612563103,0.0067723102180237416
KO,20,early_fusion,random_walk,0.27076710862757764,0.7866916094081762,8.334906884700342e-06
KO,20,early_fusion,naive_persistente,-1.4243380513296848,0.1550266571417609,-0.00014678883479966694
KO,20,early_fusion,arima_garch,0.17952457205855293,0.85760487517476,8.176571721533206e-06
KO,20,late_fusion,random_walk,5.093463349757896,5.139133245624095e-07,0.001393483045814741
KO,20,late_fusion,naive_persistente,5.155236127659476,3.7689913479077575e-07,0.0012383593041303735
KO,20,late_fusion,arima_garch,5.140386201237667,4.061819418588186e-07,0.0013933247106515737
KO,20,cross_attention,random_walk,3.3655576108965413,0.000827891280715809,0.00156287844108675
KO,20,cross_attention,naive_persistente,3.099263905592997,0.0020589628678135963,0.0014077546994023828
KO,20,cross_attention,arima_garch,3.4173080159825497,0.0006886176986478088,0.001562720105923583
KO,60,price_only,random_walk,0.6922192533253506,0.489222408055374,8.726755795041142e-05
KO,60,price_only,naive_persistente,-0.16751998781932184,0.8670500351023218,-5.361813153141717e-05
KO,60,price_only,arima_garch,0.3052166157539659,0.7603682890477788,5.7861641994377466e-05
KO,60,text_only,random_walk,2.7909100620254805,0.00552116098369515,0.005704746662405555
KO,60,text_only,naive_persistente,2.8306451622340294,0.0048922688010648585,0.005563860972923726
KO,60,text_only,arima_garch,2.8518252041588865,0.004584315131279215,0.005675340746449521
KO,60,early_fusion,random_walk,-0.43021930006044284,0.6672800052787988,-2.4573163352142875e-05
KO,60,early_fusion,naive_persistente,-1.096134671627016,0.27371402879174567,-0.00016545885283397147
KO,60,early_fusion,arima_garch,-0.9384573957240522,0.34860549709780564,-5.3979079308176846e-05
KO,60,late_fusion,random_walk,1.2560291569263133,0.20987707363084374,0.0004470321768644731
KO,60,late_fusion,naive_persistente,1.69732403631899,0.0904541919383246,0.0003061464873826444
KO,60,late_fusion,arima_garch,1.4311206503866822,0.15321750175748883,0.0004176262609084391
KO,60,cross_attention,random_walk,2.3474443009561003,0.019415081510663734,0.0017291489565373964
KO,60,cross_attention,naive_persistente,2.8887272861617928,0.004089580433989104,0.0015882632670555677
KO,60,cross_attention,arima_garch,2.537506908156079,0.011563388231527583,0.0016997430405813624
QQQ,5,price_only,random_walk,3.0447648141821992,0.0024539248838741923,0.00032626324229944004
